timestamp, utilization.gpu [%], memory.used [MiB]
2026/09/25 02:50:49.888, 19 %, 56 MiB
2026/09/25 02:50:50.888, 19 %, 56 MiB
2026/09/25 02:50:51.888, 42 %, 56 MiB
2026/09/25 02:50:52.889, 42 %, 56 MiB
2026/09/25 02:50:53.889, 19 %, 56 MiB
2026/09/25 02:50:54.889, 42 %, 56 MiB
2026/09/25 02:50:55.889, 42 %, 56 MiB
2026/09/25 02:50:56.889, 19 %, 56 MiB
2026/09/25 02:50:57.889, 19 %, 56 MiB
2026/09/25 02:50:58.890, 42 %, 56 MiB
2026/09/25 02:50:59.890, 42 %, 56 MiB
2026/09/25 02:51:00.890, 19 %, 56 MiB
2026/09/25 02:51:01.890, 19 %, 56 MiB
2026/09/25 02:51:02.891, 42 %, 56 MiB
2026/09/25 02:51:03.891, 19 %, 56 MiB
2026/09/25 02:51:04.891, 19 %, 56 MiB
2026/09/25 02:51:05.891, 42 %, 56 MiB
2026/09/25 02:51:06.891, 42 %, 56 MiB
2026/09/25 02:51:07.892, 19 %, 56 MiB
2026/09/25 02:51:08.892, 19 %, 56 MiB
2026/09/25 02:51:09.892, 43 %, 56 MiB
2026/09/25 02:51:10.892, 19 %, 56 MiB
2026/09/25 02:51:11.892, 19 %, 56 MiB
2026/09/25 02:51:12.893, 42 %, 56 MiB
2026/09/25 02:51:13.893, 42 %, 56 MiB
2026/09/25 02:51:14.893, 19 %, 56 MiB
2026/09/25 02:51:15.894, 42 %, 56 MiB
2026/09/25 02:51:16.894, 42 %, 56 MiB
2026/09/25 02:51:17.894, 19 %, 56 MiB
2026/09/25 02:51:18.895, 19 %, 56 MiB
2026/09/25 02:51:19.895, 42 %, 56 MiB
2026/09/25 02:51:20.895, 43 %, 56 MiB
2026/09/25 02:51:21.895, 19 %, 56 MiB
2026/09/25 02:51:22.896, 19 %, 56 MiB
2026/09/25 02:51:23.896, 42 %, 56 MiB
2026/09/25 02:51:24.896, 42 %, 56 MiB
2026/09/25 02:51:25.896, 19 %, 56 MiB
2026/09/25 02:51:26.897, 19 %, 56 MiB
2026/09/25 02:51:27.897, 42 %, 56 MiB
2026/09/25 02:51:28.897, 42 %, 56 MiB
2026/09/25 02:51:29.897, 19 %, 56 MiB
2026/09/25 02:51:30.897, 42 %, 56 MiB
2026/09/25 02:51:31.898, 42 %, 56 MiB
2026/09/25 02:51:32.898, 19 %, 56 MiB
2026/09/25 02:51:33.898, 19 %, 56 MiB
2026/09/25 02:51:34.898, 42 %, 56 MiB
2026/09/25 02:51:35.898, 43 %, 56 MiB
2026/09/25 02:51:36.898, 19 %, 56 MiB
2026/09/25 02:51:37.899, 19 %, 56 MiB
2026/09/25 02:51:38.899, 42 %, 56 MiB
2026/09/25 02:51:39.899, 42 %, 56 MiB
2026/09/25 02:51:40.899, 19 %, 56 MiB
2026/09/25 02:51:41.899, 43 %, 56 MiB
2026/09/25 02:51:42.900, 42 %, 56 MiB
2026/09/25 02:51:43.900, 19 %, 56 MiB
2026/09/25 02:51:44.900, 19 %, 56 MiB
2026/09/25 02:51:45.900, 42 %, 56 MiB
2026/09/25 02:51:46.900, 42 %, 56 MiB
2026/09/25 02:51:47.900, 19 %, 56 MiB
2026/09/25 02:51:48.901, 19 %, 56 MiB
2026/09/25 02:51:49.901, 42 %, 56 MiB
2026/09/25 02:51:50.901, 42 %, 56 MiB
2026/09/25 02:51:51.901, 19 %, 56 MiB
2026/09/25 02:51:52.901, 19 %, 56 MiB
2026/09/25 02:51:53.902, 42 %, 56 MiB
2026/09/25 02:51:54.902, 19 %, 56 MiB
2026/09/25 02:51:55.902, 19 %, 56 MiB
2026/09/25 02:51:56.902, 42 %, 56 MiB
2026/09/25 02:51:57.902, 42 %, 56 MiB
2026/09/25 02:51:58.902, 19 %, 56 MiB
2026/09/25 02:51:59.903, 19 %, 56 MiB
2026/09/25 02:52:00.903, 42 %, 56 MiB
2026/09/25 02:52:01.903, 19 %, 56 MiB
2026/09/25 02:52:02.903, 19 %, 56 MiB
2026/09/25 02:52:03.903, 43 %, 56 MiB
2026/09/25 02:52:04.904, 42 %, 56 MiB
2026/09/25 02:52:05.904, 19 %, 56 MiB
2026/09/25 02:52:06.904, 19 %, 56 MiB
2026/09/25 02:52:07.904, 42 %, 56 MiB
2026/09/25 02:52:08.904, 19 %, 56 MiB
2026/09/25 02:52:09.905, 19 %, 56 MiB
2026/09/25 02:52:10.905, 42 %, 56 MiB
2026/09/25 02:52:11.905, 42 %, 56 MiB
2026/09/25 02:52:12.905, 19 %, 56 MiB
2026/09/25 02:52:13.905, 19 %, 56 MiB
2026/09/25 02:52:14.905, 42 %, 56 MiB
2026/09/25 02:52:15.906, 42 %, 56 MiB
2026/09/25 02:52:16.906, 19 %, 56 MiB
2026/09/25 02:52:17.906, 42 %, 56 MiB
2026/09/25 02:52:18.906, 42 %, 56 MiB
2026/09/25 02:52:19.906, 19 %, 56 MiB
2026/09/25 02:52:20.907, 19 %, 56 MiB
2026/09/25 02:52:21.907, 42 %, 56 MiB
2026/09/25 02:52:22.907, 43 %, 56 MiB
2026/09/25 02:52:23.907, 19 %, 56 MiB
2026/09/25 02:52:24.907, 19 %, 56 MiB
2026/09/25 02:52:25.907, 42 %, 56 MiB
2026/09/25 02:52:26.908, 42 %, 56 MiB
2026/09/25 02:52:27.908, 19 %, 56 MiB
2026/09/25 02:52:28.908, 43 %, 56 MiB
2026/09/25 02:52:29.908, 42 %, 56 MiB
2026/09/25 02:52:30.908, 19 %, 56 MiB
2026/09/25 02:52:31.908, 19 %, 56 MiB
2026/09/25 02:52:32.909, 42 %, 56 MiB
2026/09/25 02:52:33.909, 42 %, 56 MiB
2026/09/25 02:52:34.909, 19 %, 56 MiB
2026/09/25 02:52:35.909, 19 %, 56 MiB
2026/09/25 02:52:36.909, 42 %, 56 MiB
2026/09/25 02:52:37.909, 42 %, 56 MiB
2026/09/25 02:52:38.910, 19 %, 56 MiB
2026/09/25 02:52:39.910, 19 %, 56 MiB
2026/09/25 02:52:40.910, 42 %, 56 MiB
2026/09/25 02:52:41.910, 19 %, 56 MiB
2026/09/25 02:52:42.910, 19 %, 56 MiB
2026/09/25 02:52:43.910, 42 %, 56 MiB
2026/09/25 02:52:44.911, 43 %, 56 MiB
2026/09/25 02:52:45.911, 19 %, 56 MiB
2026/09/25 02:52:46.911, 19 %, 56 MiB
2026/09/25 02:52:47.911, 42 %, 56 MiB
2026/09/25 02:52:48.911, 42 %, 56 MiB
2026/09/25 02:52:49.911, 19 %, 56 MiB
2026/09/25 02:52:50.912, 19 %, 56 MiB
2026/09/25 02:52:51.912, 42 %, 56 MiB
2026/09/25 02:52:52.912, 19 %, 56 MiB
2026/09/25 02:52:53.912, 19 %, 56 MiB
2026/09/25 02:52:54.912, 43 %, 56 MiB
2026/09/25 02:52:55.912, 42 %, 56 MiB
2026/09/25 02:52:56.913, 19 %, 56 MiB
2026/09/25 02:52:57.913, 19 %, 56 MiB
2026/09/25 02:52:58.913, 42 %, 56 MiB
2026/09/25 02:52:59.913, 42 %, 56 MiB
2026/09/25 02:53:00.913, 19 %, 56 MiB
2026/09/25 02:53:01.913, 19 %, 56 MiB
2026/09/25 02:53:02.914, 42 %, 56 MiB
2026/09/25 02:53:03.914, 19 %, 56 MiB
2026/09/25 02:53:04.914, 19 %, 56 MiB
2026/09/25 02:53:05.914, 42 %, 56 MiB
2026/09/25 02:53:06.914, 42 %, 56 MiB
2026/09/25 02:53:07.914, 19 %, 56 MiB
2026/09/25 02:53:08.915, 19 %, 56 MiB
2026/09/25 02:53:09.915, 42 %, 56 MiB
2026/09/25 02:53:10.915, 42 %, 56 MiB
2026/09/25 02:53:11.915, 19 %, 56 MiB
2026/09/25 02:53:12.915, 42 %, 56 MiB
2026/09/25 02:53:13.915, 42 %, 56 MiB
2026/09/25 02:53:14.916, 19 %, 56 MiB
2026/09/25 02:53:15.916, 19 %, 56 MiB
2026/09/25 02:53:16.916, 42 %, 56 MiB
2026/09/25 02:53:17.916, 42 %, 56 MiB
2026/09/25 02:53:18.916, 19 %, 56 MiB
2026/09/25 02:53:19.917, 19 %, 56 MiB
2026/09/25 02:53:20.917, 43 %, 56 MiB
2026/09/25 02:53:21.917, 19 %, 56 MiB
2026/09/25 02:53:22.917, 19 %, 56 MiB
2026/09/25 02:53:23.917, 42 %, 56 MiB
2026/09/25 02:53:24.918, 42 %, 56 MiB
2026/09/25 02:53:25.918, 19 %, 56 MiB
2026/09/25 02:53:26.918, 19 %, 56 MiB
2026/09/25 02:53:27.919, 42 %, 56 MiB
2026/09/25 02:53:28.919, 42 %, 56 MiB
2026/09/25 02:53:29.919, 19 %, 56 MiB
2026/09/25 02:53:30.919, 42 %, 56 MiB
2026/09/25 02:53:31.919, 42 %, 56 MiB
2026/09/25 02:53:32.920, 19 %, 56 MiB
2026/09/25 02:53:33.920, 19 %, 56 MiB
2026/09/25 02:53:34.920, 42 %, 56 MiB
2026/09/25 02:53:35.920, 42 %, 56 MiB
2026/09/25 02:53:36.920, 19 %, 56 MiB
2026/09/25 02:53:37.921, 19 %, 56 MiB
2026/09/25 02:53:38.921, 42 %, 56 MiB
2026/09/25 02:53:39.921, 42 %, 56 MiB
2026/09/25 02:53:40.921, 19 %, 56 MiB
2026/09/25 02:53:41.921, 42 %, 56 MiB
2026/09/25 02:53:42.922, 42 %, 56 MiB
2026/09/25 02:53:43.928, 19 %, 56 MiB
2026/09/25 02:53:44.928, 19 %, 56 MiB
2026/09/25 02:53:45.928, 42 %, 56 MiB
2026/09/25 02:53:46.928, 43 %, 56 MiB
2026/09/25 02:53:47.928, 19 %, 56 MiB
2026/09/25 02:53:48.929, 42 %, 56 MiB
2026/09/25 02:53:49.929, 43 %, 56 MiB
2026/09/25 02:53:50.929, 19 %, 56 MiB
2026/09/25 02:53:51.929, 19 %, 56 MiB
2026/09/25 02:53:52.929, 42 %, 56 MiB
2026/09/25 02:53:53.929, 19 %, 56 MiB
2026/09/25 02:53:54.930, 19 %, 56 MiB
2026/09/25 02:53:55.930, 42 %, 56 MiB
2026/09/25 02:53:56.930, 43 %, 56 MiB
2026/09/25 02:53:57.930, 19 %, 56 MiB
2026/09/25 02:53:58.930, 19 %, 56 MiB
2026/09/25 02:53:59.931, 42 %, 56 MiB
2026/09/25 02:54:00.931, 19 %, 56 MiB
2026/09/25 02:54:01.931, 19 %, 56 MiB
2026/09/25 02:54:02.931, 42 %, 56 MiB
2026/09/25 02:54:03.931, 42 %, 56 MiB
2026/09/25 02:54:04.932, 19 %, 56 MiB
2026/09/25 02:54:05.932, 41 %, 56 MiB
2026/09/25 02:54:06.932, 43 %, 56 MiB
2026/09/25 02:54:07.932, 22 %, 56 MiB
2026/09/25 02:54:08.933, 19 %, 56 MiB
2026/09/25 02:54:09.933, 41 %, 56 MiB
2026/09/25 02:54:10.933, 41 %, 56 MiB
2026/09/25 02:54:11.933, 19 %, 56 MiB
