timestamp, utilization.gpu [%], memory.used [MiB]
2026/09/25 06:18:33.180, 42 %, 56 MiB
2026/09/25 06:18:34.180, 42 %, 56 MiB
2026/09/25 06:18:35.181, 19 %, 56 MiB
2026/09/25 06:18:36.181, 19 %, 56 MiB
2026/09/25 06:18:37.181, 42 %, 56 MiB
2026/09/25 06:18:38.181, 42 %, 56 MiB
2026/09/25 06:18:39.181, 19 %, 56 MiB
2026/09/25 06:18:40.182, 42 %, 56 MiB
2026/09/25 06:18:41.182, 42 %, 56 MiB
2026/09/25 06:18:42.182, 19 %, 56 MiB
2026/09/25 06:18:43.182, 19 %, 56 MiB
2026/09/25 06:18:44.183, 42 %, 56 MiB
2026/09/25 06:18:45.183, 42 %, 56 MiB
2026/09/25 06:18:46.183, 19 %, 56 MiB
2026/09/25 06:18:47.183, 19 %, 56 MiB
2026/09/25 06:18:48.183, 42 %, 56 MiB
2026/09/25 06:18:49.183, 42 %, 56 MiB
2026/09/25 06:18:50.184, 19 %, 56 MiB
2026/09/25 06:18:51.184, 19 %, 56 MiB
2026/09/25 06:18:52.184, 43 %, 56 MiB
2026/09/25 06:18:53.184, 42 %, 56 MiB
2026/09/25 06:18:54.184, 19 %, 56 MiB
2026/09/25 06:18:55.185, 42 %, 56 MiB
2026/09/25 06:18:56.185, 42 %, 56 MiB
2026/09/25 06:18:57.185, 19 %, 56 MiB
2026/09/25 06:18:58.185, 19 %, 56 MiB
2026/09/25 06:18:59.185, 42 %, 56 MiB
2026/09/25 06:19:00.186, 42 %, 56 MiB
2026/09/25 06:19:01.186, 19 %, 56 MiB
2026/09/25 06:19:02.186, 19 %, 56 MiB
2026/09/25 06:19:03.186, 42 %, 56 MiB
2026/09/25 06:19:04.187, 42 %, 56 MiB
2026/09/25 06:19:05.187, 19 %, 56 MiB
2026/09/25 06:19:06.187, 19 %, 56 MiB
2026/09/25 06:19:07.187, 42 %, 56 MiB
2026/09/25 06:19:08.187, 42 %, 56 MiB
2026/09/25 06:19:09.187, 19 %, 56 MiB
2026/09/25 06:19:10.188, 42 %, 56 MiB
2026/09/25 06:19:11.188, 42 %, 56 MiB
2026/09/25 06:19:12.188, 19 %, 56 MiB
2026/09/25 06:19:13.188, 19 %, 56 MiB
2026/09/25 06:19:14.188, 42 %, 56 MiB
2026/09/25 06:19:15.189, 42 %, 56 MiB
2026/09/25 06:19:16.189, 19 %, 56 MiB
2026/09/25 06:19:17.189, 42 %, 56 MiB
2026/09/25 06:19:18.189, 43 %, 56 MiB
2026/09/25 06:19:19.189, 19 %, 56 MiB
2026/09/25 06:19:20.190, 19 %, 56 MiB
